state,county,customersServed,customersAffected,percentageWithPower,lastUpdatedTime,latitude,longitude,utility,time pulled,percentWithoutPower,date,time
L,CALCASIEU,88383,32,100.0,1753192647258,30.221415384615383,-93.57326153846154,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,CALDWELL,6270,0,100.0,1753192647258,32.13552,-91.95332,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,CAMERON,1858,0,100.0,1753192647258,29.893855421686748,-93.4987951807229,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,CATAHOULA,58,0,100.0,1753192647258,31.577897727272727,-91.82761363636364,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,CLAIBORNE,4623,0,100.0,1753192647258,32.65868932038835,-92.98533980582523,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,CONCORDIA,5110,0,100.0,1753192647258,31.40584051724138,-91.651875,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,EAST BATON ROUGE,189044,30,100.0,1753192647258,30.503923357664235,-90.9984306569343,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,EAST CARROLL,3404,0,100.0,1753192647258,32.777184986595174,-91.26310991957104,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,EAST FELICIANA,4354,0,100.0,1753192647258,30.8390780141844,-91.01302600472812,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,FRANKLIN,7253,1,100.0,1753192647258,32.16216839677047,-91.6865974625144,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,GRANT,1210,0,100.0,1753192647258,31.59055555555556,-92.4834656084656,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,IBERIA,6197,5,100.0,1753192647258,29.96807947019868,-91.6541059602649,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,IBERVILLE,9371,1,100.0,1753192647258,30.252775119617223,-91.38511961722487,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,JACKSON,9085,2,100.0,1753192647258,32.21722972972973,-92.75439189189188,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,JEFFERSON,217641,42,100.0,1753192647258,29.6015737704918,-90.08645901639343,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,JEFFERSON DAVIS,12341,394,97.0,1753192647258,30.266525821596247,-92.66793427230049,Entergy,2025-07-22 13:58:25.906271,0.03,2025-07-22,13:58
L,LASALLE,5970,0,100.0,1753192647258,31.61041338582677,-92.25734251968504,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,LAFAYETTE,17440,0,100.0,1753192647258,30.2226643598616,-92.08692041522492,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,LAFOURCHE,43185,9,100.0,1753192647258,29.609287410926367,-90.40995249406176,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,LINCOLN,9194,2,100.0,1753192647258,32.684820512820515,-92.74358974358974,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,LIVINGSTON,24076,7,100.0,1753192647258,30.404145161290323,-90.7923064516129,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,MADISON,5682,24,100.0,1753192647258,32.32744303797468,-91.32559493670888,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,MOREHOUSE,12545,1,100.0,1753192647258,32.71818540433925,-91.82836291913216,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,NATCHITOCHES,755,0,100.0,1753192647258,31.914509151414308,-92.99229617304492,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,ORLEANS,194851,216,100.0,1753192647258,30.0334496124031,-89.86143410852713,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,OTHER,2,2,0.0,1753192647258,,,Entergy,2025-07-22 13:58:25.906271,1.0,2025-07-22,13:58
L,OUACHITA,82222,3,100.0,1753192647258,32.5634,-92.03646666666668,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
L,PLAQUEMINES,13485,0,100.0,1753192647258,29.632186046511627,-89.81465116279071,Entergy,2025-07-22 13:58:25.906271,0.0,2025-07-22,13:58
